Model,Mrp,Rating,Review,Specs
"MOTOROLA g52 (Metallic White, 128 GB)","₹12,999",4.2,"20,882 Ratings & 2,628 Reviews",6 GB RAM | 128 GB ROM
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹13,999",4.2,"32,083 Ratings & 2,613 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme 9 5G (Supersonic Blue, 128 GB)","₹16,499",4.4,"44,415 Ratings & 2,930 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme 9 5G (Meteor Black, 128 GB)","₹16,499",4.4,"44,415 Ratings & 2,930 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme 9 5G (Meteor Black, 64 GB)","₹14,999",4.5,"36,109 Ratings & 2,083 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme 9 5G (Stargaze White, 64 GB)","₹14,999",4.5,"36,109 Ratings & 2,083 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"APPLE iPhone 14 (Starlight, 128 GB)","₹73,990",4.6,981 Ratings & 67 Reviews,128 GB ROM
"MOTOROLA g52 (Charcoal Grey, 128 GB)","₹12,999",4.2,"20,882 Ratings & 2,628 Reviews",6 GB RAM | 128 GB ROM
"APPLE iPhone 14 (Midnight, 128 GB)","₹73,990",4.6,981 Ratings & 67 Reviews,128 GB ROM
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹14,999",4.3,"1,37,778 Ratings & 11,213 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"MOTOROLA G32 (Satin Silver, 64 GB)","₹9,999",4.2,"16,249 Ratings & 1,639 Reviews",4 GB RAM | 64 GB ROM
"MOTOROLA G62 5G (Frosted Blue, 128 GB)","₹14,999",4.1,"8,567 Ratings & 933 Reviews",6 GB RAM | 128 GB ROM
"MOTOROLA g42 (Atlantic Green, 64 GB)","₹10,999",4.1,"3,075 Ratings & 385 Reviews",4 GB RAM | 64 GB ROM
"APPLE iPhone 14 (Blue, 128 GB)","₹73,990",4.6,981 Ratings & 67 Reviews,128 GB ROM
"realme 9 5G (Supersonic Black, 128 GB)","₹16,499",4.4,"44,415 Ratings & 2,930 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"Infinix HOT 20 Play (Racing Black, 64 GB)","₹8,199",4.3,505 Ratings & 52 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
